|9
msj|1
agendada|1
jajajajajajaja|1
conectado|1
forma|2
atrevidas|1
tom|1
miran|2
reojo|1
mÍo|1
20|1
siglos|1
vídeos|1
gonzalo|1
gana|1
disparo|1
paintball|1
mtvsnaparggoette|1
cortala|1
hacéis|1
likes|1
agobio|1
agobia|1
publicidad|1
manden|2
aparentar|1
consumirme|1
planean|1
muerte|1
dedos|1
pie|1
dificil|1
firmó|1
pacto|1
muestra|1
intolerancia|2
audio|2
oír|1
das|1
loraaaa|1
celular😤😤😤|2
mando|1
preguntando|1
locoooo😡😡😡|1
tira|1
meto|2
perfil|2
frustración|1
😎|1
viajan|1
ms|1
enamore|1
wifi👊👊|1
pelotudeen|1
ensayos|1
fecha|1
semana|3
vaya|3
mila|2
vive|2
córdoba|2
dos|6
meses|2
contraten|1
nada--|1
4|1
soltar|1
supera|1
😠😠odio|1
eso😠|1
cagaste|1
resorte|1
cansarme|1
500|1
insistan|1
dije|2
terminan|1
convenciendo|1
cerca|3
quererte|1
incluso|2
largues|1
rodeado|1
mediocres|1
superiores|1
todocuando|1
trozo|1
estresante|2
eternidad|2
musica|1
crite|1
jugadores|2
escucharán😒|1
flaco|1
rescatate|1
😠😠😠|1
sienten|1
resentidos|1
éxito|1
ajeno|1
canalizan|1
superarse|1
ternura|1
vagos|1
charlar|2
hable|2
hermosos|1
carpeta|1
mat|1
dijieron|1
revolearon|1
terminaron|1
rendir|1
ultima|1
conexion|1
pica|1
específicamente|1
ladilla|1
preg|1
jamas|1
lei|1
desesperar|1
*abandonar|1
grupo*|1
nuestro|2
debe|2
libre|1
apego|1
complazcan|1
convertirá|1
cabeza-|1
rápido|1
responden😠|1
váyanse|1
mierrrrrda|1
hernan|2
mencionan|1
pegada|1
enteros|1
sensei|1
muchos|1
paises|1
demostrado|1
méxico|1
insultandonos|1
importado|1
welovetomarjamaica|1
asiiii|1
mejooorr|1
caretitas|1
superadas|1
chupame|1
pijaaaaaaaa|1
tapa|1
nariz|1
😑😑😑|1
culpa|1
estás|1
tratando|1
adivinar|1
terminar|1
marsela|1
overwhelmed|1
metan|2
droga|1
emborracha|1
lastima|2
inocente|1
conteste|1
cocinando|1
grita|2
amigo|7
“te|1
tiran|2
odontólogo|1
joven|1
quieres|1
muera|1
hambre|1
_|1
identifico|30
tirando|30
onda|35
escribiendm|1
face--|1
humorson|1
livianosy|1
escribas|1
alho|1
quc|1
tok|1
viaje|1
respondermeeeee|1
mtvawardsstar|1
seconds|1
of|1
summer|1
basquet|1
👹👹👹|1
ultina|2
tvn|4
tomando|2
tafil|2
lomotil|2
aparicion|2
rm|4
estadio|2
lloro|3
verga|1
internet|2
completar|1
carpetas|1
llegue|1
arroba|1
figura|1
paterna|1
homosexualidad|1
chicas|2
tuvieran|1
culpables|1
cortos|1
mandarlos|1
contar|1
perfume|1
ojo😡|1
debía|6
aah|6
olvidado|6
jeje|6
cierto|7
nomÁs|6
cobrar|6
😌|6
copia|3
extraño|1
tiempos|1
podía|1
libremente|1
censurarme|1
madreee|1
buen|1
bullying|1
avances|1
escena|1
matadora|1
importe|1
valgo|1
inseguridad|1
significa|1
es:|2
digas|1
bardean|2
citandose|2
paginas|2
leerme|2
entero|2
manera|2
comen|2
jugar|5
po|6
baaaa|3
dedico|3
wea|3
quedarme|3
tapada|2
frazadas|2
social|2
disminuye|2
-10|2
conjuro|1
+16|1
nena💆|1
existe|1
jajajajsj|1
lentoo|1
matias|1
complica|1
juntarme|1
😾|1
moda|1
gusta😒|1
colegiono|1
educaciónestoy|1
ignorante|1
allí|1
entiendas|2
convengo|2
soportas|2
dormida|2
sofá|1
salga|1
granito|1
salir😠😠😠😠|1
aplausos|1
fomentan|1
mentira|10
verdad😑😑|10
únicos|1
arg|5
poneeeeen|1
quilombos|1
audiosnada|1
cerra|3
tuya|1
evitar|1
sentirme|1
😧|1
sirve|2
fomenta|1
guardaba|2
arrepiento|2
defensores|1
😷|1
😤👊|1
abraza|2
llore|2
pendejitas|1
prepotentes|1
agrandadasno|1
ningun|1
asi🔫🔫|1
putearse|1
dediquense|1
enamorarme|1
compré|1
local|1
llego|1
ke|1
contas|1
unoq|1
jungkook:|2
enseña|1
bailar|1
entiende|1
gestos|1
lección|1
gol|3
lora|1
-_-|1
estadísticas|1
equipo|2
veterano|1
copa|1
ponelo|1
messi|39
ata|1
jajajaa|1
palabra|1
millones|1
lejanas|1
eres|1
pobre|2
😂😂😂😂|1
pidiendo|1
conversación|2
okay|1
contesto😡|1
idiotas|1
escribiendo|1
ojete|1
atentado|1
araucania|1
iglesia|1
cristiana|1
km3|1
niagara|1
metete|2
comentarios|1
ano|1
queridx|1
fuiste|1
pa|5
porfeen|2
infumables|4
plaguean|4
verte|1
😬😒|1
👊chao|1
acorten|2
palabras|2
escriban|2
argentina|5
cierro|2
clavar|1
letreros|15
online|15
camila|15
solita|15
busco|15
diversiÓn|15
henry|15
clavaron|1
►odio|1
saltan|1
recuerdos|2
face|2
avisen|2
esperando|1
siempre😡|1
egocéntrico|1
crees|2
cierta|1
provocarte|1
iba|2
exprese|1
responde|3
sucio|1
necesidad|1
agredir|1
ganar|1
asado|1
carne|1
animal|1
:/|1
aferro|1
pipí|1
odió|1
aburrida|2
vidas|1
ajenas|1
flor|1
eras|1
chevere|1
wey|1
come|2
chegusan|1
milanesa|1
ruedas|1
detalles|1
quisiera|1
fueran|1
conoce|1
conocen|1
literal|2
barba|1
tipos|1
acerques|1
🚫|1
altura|1
verso|1
jugador|1
salva|1
lesiona|1
putean|1
cierren|2
otero|1
ganaste|1
subiste|1
foto🔪|1
mache|2
rojo|2
altas|1
palos|1
juguemos|30
alemania|30
panamá|30
desplegando|30
magia|30
planeo|1
conversacion|1
sa|1
qigue|1
libreto|1
automaticamente|1
vuelve|1
futbol|3
gol😡😭💔⚽|1
otras⚽️🎬|1
whap|1
jugo|1
lulo|1
😭😭|1
hermoso|1
😠👊🏻|1
nomaas|2
somosargentina|3
prácticamente|1
ando|1
sensible|2
mínimo|2
micaela|1
fui|1
wapp|1
aparece|2
cartel|1
infeliz|1
bÚscate|1
tuyo|1
acuerdan|1
conviene😒😒|1
plan|1
*critiquemos|1
selección*|1
🙄🙄🙄|1
comprometen|1
habitación|1
manito|1
tocate|1
clítoris|1
mr|1
chavez|1
ayudo|1
fundar|1
financió|1
podemos|3
traerá|1
martes|1
rinden|1
patada|1
ojoyotambiensemucho😂|1
akutagawa|1
higuchi|1
encantan|1
maltrate|1
desprecie|1
daría|1
bajada|3
💆🏼|3
creas|1
pulp|1
tocó|1
palacio|1
deportes|1
carga|1
servidor|1
peli|1
activo|1
wifi|1
actualizaron|1
aplicaciones|1
recuerdo|2
solía|1
fines|1
😩😖|1
maduro|1
depue|1
comprate|1
mapa|1
ubiktepero|1
siq|1
rhlm|1
ne|1
enseguida|1
histeriquita|1
impaciente|1
zarpada|1
roli|1
poli|1
olie|1
estÁs|1
shre|1
parten|1
frÍo|1
perro|1
jesus|1
dice/escribe|1
compa:|1
faltar|1
gym|1
bromas|1
cortarse|1
suicidarse|1
alrededor|1
piensan|1
agrandarserá|1
tranquila|1
formas|1
viejos|1
comparan|1
maradona|1
dejen|2
disfrutar|1
juventud|1
vivieron|1
callarme|1
muero|1
😭💔|1
preguntó|1
-el|1
-la|1
maria|1
caguen|1
comparten|2
😠😤😭|2
grabar|1
grabe|1
apreté|1
cortarme|1
dedo|1
declaro|1
intolerante|1
temas|1
alguna|1
twitteas|1
cierra|1
apaga|1
eso😒🔫|1
bale|1
abrazarla|1
:c|1
pelis|1
pochoclos|1
gracias|3
plantada|1
exámenes|1
🙄🔫|1
nosotras|1
patean|1
atrás😠😠😠😠😠😠|1
copaamerica|1
amiqg|1
mandar|1
🙄😂|1
quinto|1
suspenden|1
salidas|1
última|1
hora😡😤|1
deje|2
pasa🙃|1
ahogando|1
toma|1
aguaaaaaa|1
gÜei|1
ahogandooooo|1
😀|1
estuviste|1
profesores|1
dicen:|2
aprendió|1
sucedió|1
pasada|1
nahir|1
coma|1
cubiertos|1
locaaa|1
malcriados|1
acepto|1
solicitud|1
pedo|1
acepto😒|1
entradas|1
quizás|1
ocupadas|1
enteran|1
ponele|1
altere|1
abuelos|1
mascota|1
👊👊😠😠|1
soporto|1
engripadx|1
genera|1
respiran|1
😤😡😑|1
situacion|1
economica|1
pais|2
piensen|1
desagradecida|1
sobra|1
higuain|1
cayo|1
82|1
abrazen|1
paro|1
meno|1
😅😅|1
argentinas|1
sintiendo|1
suarez|1
empezo|1
calentar|1
espalda|1
chingo😭|1
tiempo😡😡|1
humano|1
humorada|1
hablemos|1
imaginan|1
bardeen|1
recuerden|1
talento|1
via|1
llamar|1
😶|1
perfectamente|1
explotar|1
pasar|1
👊🏻|1
sacÓ|1
remera|1
ponerse|1
camiseta|2
escuche|1
habló|1
repetir|1
wp|1
ortiva😡|1
atardecer|1
refleja|1
vidrios|1
metales|1
asi🙅🙅|1
limpiar|1
dps|1
limpio|1
ordenado|1
pinches|1
emperra|1
estÁ|1
calla|1
lastimo|1
agarrar|1
pegarles|1
cuantas|1
piñas|1
cora💔😔|1
guacala|1
interés|1
importo|1
busques|1
canso👋|1
pucho|2
fermentado|2
niegan|1
:3|1
aman|1
pueden|1
conocer|1
arrepentir|1
callado|1
recibido|1
carta|1
hogwarts😭|1
pesada|1
clavas|1
rompe|1
regreses|1
vayas|1
enserio|1
consejo|1
😪|1
tomen|1
selecciÓn|1
barcelo|1
1%|1
yeguas|1
chabones|1
minitas|1
aquello|1
chuparte|1
compa|1
vean|1
hueva|1
acordas|1
alejan|1
gómez|1
chamo|1
novia|3
“jeva|1
patetico|1
mismos|2
normal|2
democracia:|2
oposiciÓn|2
doblecaradoblemoral|2
opción|1
súper|1
tinder|1
super|1
aparte|1
tantito|1
español|1
sufrircuando|1
conocencuando|1
absolutamente|1
lavo|1
abrir|1
todavia|1
jabon|1
negativa|1
mueva|1
*****|2
adivino|2
oreja|1
reís|2
mentís|2
caras|2
raras|2
río|2
mintiendo|2
profundo|1
coloca|1
debajo|1
aquellos|1
quienes|1
odiamos|2
broncaaaaaa|1
😬😬😬|1
groso|1
amoooo|1
borroso|1
afecte|1
sensibilidad|1
aumenta|1
100%|1
queremos|1
amarle|1
permite|1
disfrazad|1
vaguitos|1
buscan|1
arreglan|1
otra😡|1
seas|1
entender|2
interesa|1
dejame|1
paz|1
1/10|1
admito|1
pasado|1
traerte|1
insomnio|1
pinche|1
obeso|1
amistad|1
utilizando|1
vomito|1
enteras|2
cdm|2
<3|4
;;|2
gatitos|2
~|2
argentinos|1
losterremotos|1
tsunamis|1
quejan|1
despeja|1
irrepetible|1
insultas|1
país|1
bardeo|1
apellido|1
brazo|1
torcer|1
agarro|1
gatos|1
piel|1
cuello|1
agarrara|1
amor/odio|2
bebé|2
adoro|1
acordar|1
golno|1
vale|1
amague|1
fueron|1
eliminados|1
chats|1
twitter😒|1
relatores|1
festejan|1
metió|1
otamendi|1
